,,,
Botanical Name,Family,Common Name,Properties / Uses
Cyperus rotundus,CYPERACEAE,nut grass,"pungent, bittersweet, relieves spasms, pain, stimulates digestive system; treats digestive problems related to blocked liver energy and menstrual complaints; used with Angelica for nausea and vomiting"
Cyrtomium falcatum,ASPLENIACEAE,Japanese holly fern,anthelminthic; for expulsion of tapeworm
Daphne cneorum,THYMELAEACEAE,garland flower,"acrid, bitter, controls coughs, germicidal, diuretic, expectorant, laxative; treats bronchitis, constipation, edema, skin diseases, frostbite; used in Chinese hospitals as an arbortifacient"
Datura stramonium,SOLANACEAE,jimson weed,"bitter narcotic herb, relaxes spasms, relieves pain, encourages healing; treats asthma, Parkinson's disease, motion sickness (scopolomine); excess causes giddiness, dry mouth, halucinations, coma; WARNING restrictions"
Daucus carota,APIACEAE,wild carrot,"treats urinary stones, cystitis, gout, edema, flatulent indigestion, menstrual problems - oil used in antiwrinkle creams; contains vitamins for eye health"
Dianthus plumarius,CARYOPHYLLACEAE,pink,"treats acute urinary tract infections, urinary stones, constipation, failure to menstrate; skin inflammation and swellings"
Dictamnus albus,RUTACEAE,gas plant,"treats skin diseases esp. scabies, eczema, for german measles, arthritic pain, jaundice"
Digitalis lanata,SCROPHULARIACEAE,woolly foxglove,"bitter, diuretic, strengthens heart contractions; contains cardiac glycosides; for irregular heartbeat, heart failure (used under direction of physician)"
Digitalis lutea,SCROPHULARIACEAE,yellow foxglove,"bitter, diuretic, strengthens heart contractions; contains cardiac glycosides; for irregular heartbeat, heart failure (used under direction of physician)"
Digitalis purpurea,SCROPHULARIACEAE,common foxglove,"bitter, diuretic, strengthens heart contractions; contains cardiac glycosides; for irregular heartbeat, heart failure (used under direction of physician)"
Dioscorea batatas,DIOSCOREACEAE,Chinese yam,"sweet, soothing, stimulates stomach, spleen, tonic for lungs, kidneys; treats poor appetite, diarrhea, asthma, dry coughs, frequent or uncomfortable urination, diabetes, emotional instability from qi defficiency -also for boils and abscesses"
Diospyros digyna,EBENACEAE,black sapote,"astringent, expectorant, antibacterial; used for treating malaria"
Dipsacus sativus,DIPSACACEAE,teasel,"antibiotic, improves circulation; treats lyme disease, cures warts"
Dodonaea viscosa,SAPINDACEAE,sticky hop bush,"astringent, lowers fevers, reduces pain; treats fevers, sore throat, toothache, wounds and stings"
Dorstenia contrajerva,MORACEAE,contra hierba,"treats foot sores, expel intestinal worms"
Dracocephalum  moldavica,LAMIACEAE,dragonhead,"astringent, carminative, tonic, aromatic, tranquilizer, sedative, anxiolytic; treats nervous conditions, depression; also reduces fevers"
Dracunculus vulgaris,ARACEAE,dragon arum,"treats rheumatism, ulcers, hemorrhoids; also for eye and ear ailments, ruptures, convulsions, coughs"
Drosera rotundifolia,DROSERACEAE,sundew,"acrid, warming, soothing, diuretic, expectorant, relaxes spasms, controls coughing; treats asthma, whooping cough, bronchitis, influenza, sore throat, laryngitis,  gastritis, gastric ulcer"
Dryopteris filix-mas,DRYOPTERIDACEAE,male fern,"bitter, unpleasant tasting, expels intestinal worms, antibacterial, antiviral, controls bleeding, relieves pain, fevers, anti- inflammatory; treats intestinal parasites, liver flukes, internal hemmorhage, uterine bleeding, mumps, feverish illnesses (measles, colds etc.)"
Echinacea angustifolia,ASTERACEAE,coneflower,immune system stimulant
Echinacea purpurea,ASTERACEAE,purple coneflower,"aromatic, bitter, alterative, antiviral, antibacterial, promotes healing, stimulates immune system; for septicemia, gangrene, boils, abscesses, slow-healing wounds, upper respiratory tract infections, venereal diseases, herpes, acne, psoriasis"
Echium wildpretii,BORAGINACEAE,echium,"astringent, diuretic, antioxidant, anti-inflammatory,  high in gamma linoleic acid (GLA); treats fevers, coughs, headaches, poultice remedy for joint pain, rejuvenates skin; also used in weight loss supplements"
Elletaria cardamomum,ZINGIBERACEAE,cardamon,"for indigestion, nausea, vomiting, enuresis, pulmonary disease with copious phlegm - ayurveda for bronchial and digestive complaints - (subject to legal restrictions in some parts of the world)"
Ephedra gerardiana,EPHEDRACEAE,ephedra,"treats asthma, hayfever, sinusitis, allergies; also to strengthen kidneys"
Ephedra sinica,EPHEDRACEAE,joint fir,"pungent, bitter, warming, dilates bronchial vessels, stimulates heart and central nervous system; reduces nasal congestion (pseudoephedrine); also for arthritis, edema"
Epimedium sagittatum,BERBERIDACEAE,horny goat weed,"pungent, sweet, aphrodiasiac, liver and kidney tonic, dilates blood vessels, lowers blood pressure, expectorant; treats asthma, bronchitis, coughing, cold or numb extremities, arthritis, lumbago, impotence, high blood pressure, absent- mindedness"
Equisetum fluviatile,EQUISETACEAE,swamp horsetail,"diuretic, astringent, cooling, emmenagogue,  helps absorption of Ca; treats dropsy, gravel, kidney affections, stomach acidity, dyspepsia, kidney and bladder complaints, hemmorhage, urinary problems"
Equisetum hyemale,EQUISETACEAE,rough horsetail,"diuretic, cooling, astringent, emmenagogue;  for cataracts, conjunctivitis, sore and watering eyes - Ayurvedic for kidney, gall bladder, urinary problems, venereal diseases, fractures"
Equisetum myriochaetum,EQUISETACEAE,horsetail,"diuretic, anti-inflammatory+G61; treats conjunctivitis, watering eyes related to feverish colds; mainly to strengthen fingernails"
Eryngium foetidum,APIACEAE,culantro,"pungent, aromatic, lowers fever, relaxes spasms, benefits digestion; cure-all - treats epilepsy, high blood pressure, fevers, fits, chills in children"
Eryngium maritimum,APIACEAE,sea holly,"sweet, mucilaginous, diuretic, anti-inflammatory,  expectorant; treats urinary infections, esp. cystitis, urethritis, excessive urine production (diabetes), prostate problems, renal colic"
Eryngium planum,APIACEAE,eryngo,diuretic - treats whooping cough
Eschscholzia californica,PAPAVERACEAE,California poppy,"bitter, sedative, diuretic, pain reliever, relaxes spasms, increases perspiration; treats insomnia, nervous tension, anxiety, incontinence esp. in children; also used in tinctures and infusions"
Eucalyptus globulus,MYRTACEAE,fever tree,"aromatic, stimulant, decongestant, expectorant, relaxes spasms, lowers fevers, antibacterial; treats bronchitis, sinusitis, colds, influenza, excess mucus, bruises, sprains, muscular pains, wounds, abscesses, kills bacteria"
Eucommia ulmoides,EUCOMMIACEAE,eucommia bark,"tonifies liver and kidneys, strengthens tendons and bones, aids flow of qi and blood, use to promote circulation; calms the fetus"
Eugenia caryophyllus,MYRTACEAE,cloves,"antiseptic and powerfully analgesic esp. teeth and gums;
warming - helps fight off colds; anti-inflammatory;  calms digestive system; eliminates parasites"
Euonymus europaeus,CELASTRACEAE,spindle tree,"bitter, astrigent, diuretic, emetic, stimulates bile flow; treats liver and gall bladder complaints, also for chilblains, abscesses, acne, wounds"
Eupatorium cannabinum,ASTERACEAE,hemp agrimony,"bittersweet, slightly aromatic, diuretic, tonic to stimulate immune system, stops tumor growth; treats arthritis, rheumatism, feverish colds, influenza; WARNING - contains alkaloids that may cause damage to liver"
Euphorbia characias,EUPHORBIACEAE,spurge,"WARNING - toxic in pure state, highly irritant, purgative, high in diterpene esters, diuretic, antibacterial; used in liquid extracts, infusions, tinctures"
Euphorbia cyparissias,EUPHORBIACEAE,cypress spurge,"WARNING - toxic, highly irritant, purgative, diuretic, antibacterial;
treat skin diseases, diarrhea, breathing disorders"
Euphorbia hirta,EUPHORBIACEAE,asthma weed,"acrid, bitter, antiseptic, expels phlegm, relieves spasms; treats asthma, bronchitis, emphysema, nervous cough, excess mucus, hay fever, amoebic dysentery; also for burns, warts"
Euphorbia lathryus,EUPHORBIACEAE,caper spurge,poisonous - too toxic for medicinal use
Euphorbia tirucalli,EUPHORBIACEAE,milk bush,"WARNING - toxic plant; used for snakebites, skin tumors, syphilis, ulcers"
Fagus sylvatica,FAGACEAE,European beech,"antiseptic, stimulating, expectorant, with burning taste and penetrating odor; treats chronic bronchitis, upper respiratory tract infections; externally for skin diseases"
Ferula communis,APIACEAE,giant fennel,"pungent, cleanses and strengthens gastrointestinal  tract, relieves pain and spasms, encourages productive coughing, hypotensive and anticoagulant effects; for indigestion, flatulence, colic, constipation, intestinal worms, dysentery, whooping cough"
Ficus carica,MORACEAE,edible fig,"powerful healing agent; soothes mucous membranes; antifungal, treats warts; anticancer; aids in digestion; controls bacteria; reduces inflammation, lowers body temperature"
Filipendula ulmaria,ROSACEAE,meadowsweet,"astringent, aromatic, antacid, healing, soothing, relieves pain and inflammation, esp. joints, digestive tract, antibacterial+G279, antiviral; treats hyperacidity, heartburn, gastritis, peptic ulcers, diarrhea, dysentery, influenza, cystitis (salicylic acid present)"
Fittonia verschaffeltii,ACANTHACEAE,mosaic plant,treats toothache
Foeniculum vulgare,APIACEAE,fennel,"carminative, antispasmodic,  antidepressant;  promotes milk in breast feeding mothers; treats colic, wind, irritable bowel (babies); also for anxiety, depression, disturbed spirits"
Fumaria officinalis,PAPAVERACEAE,fumitory,"bitter, mildly diuretic, laxative, improves liver and gall bladder function, reduces inflammation; treats biliary colic and migraine with digestive complaints; also for conjunctivitis, skin complaints eg. eczema, dermatitis"
Furcraea foetida 'Variegata',AGAVACEAE,var. Mauritius hemp,"anti-inflammatory,  anti-diabetic; treats boils, heals wounds; also diabetes"
Furcraea selloana,AGAVACEAE,furcraea,anti-inflammatory;  treats boils
Galega officinalis,FABACEAE,goat's rue,"bitter, mildly diuretic, increases milk flow, lowers blood sugar, improves digestion; treats breast feeding complaints, late on-set diabetes, pancreatitis, digestive problems esp. chronic constipation due to lack of enzymes"
Galium odoratum,RUBIACEAE,sweet woodruff,"astringent, bitter, aromatic, diuretic, sedative, improves liver function, relaxes spasms, reduces blood clotting; treats thrombophlebitis,  varicose veins, biliary obstruction, hepatitis, jaundice, insomnia in children; also inflammation of uterus"
Gardenia augusta,RUBIACEAE,gardenia,"bitter, cold, alterative, checks bleeding, lowers fever and blood pressure, stimulates bile flow, promotes healing; treats feverish illness, hepatitis, jaundice; also for wounds, sprains, skin inflammations, toothache"
Gelsemium sempervirens,LOGANIACEAE,Carolina jessamine,"bitter, aromatic, sedative, lowers fever, increases perspiration, relieves pain, relaxes spasms; treats neuralgia, migraine, sciatica, toothache, severe pain esp. in terminal illness and accidents, meningitis"
Geranium robertianum,GERANIACEAE,herb Robert,"stop nosebleeds and bleeding from cuts and wounds; treats severe diarrhea, for kidney and bladder disorders,
gastrointestinal  aliments, peptic ulcers, boils, skin problems, slow healing wounds, tonsilitis"
Gingko biloba,GINGKOACEAE,gingko,"anti-inflammatory,  relaxes lungs, improves blood flow, strengthens blood vessels; treats thrombosis, varicose veins; poor circulation especially circulation to brain in elderly people, strengthens memory"
Glechoma hederacea,LAMIACEAE,ground ivy,"bitter, aromatic, astringent, diuretic, expectorant, tonic effect on bronchial, digestive and urinary systems; treats sore throat, colds and coughs, excess mucus, earaches, sinusitis, gastritis, cystitis; also hemorrhoids, inflammations of mouth, throat"
Glycine max,FABACEAE,soy bean,"stimulant, boosts immune system, lowers cholesterol, decreases menopausal symptoms, estrogen levels, aids blood clotting; treats cancer, inflammation, eye infection, insomnia, liver, kidney, cardiovascular disorders, stomach aches, leukemia"
Glycyrrhiza glabra,FABACEAE,licorice,"for spleen deficiency with shortness of breath, tiredness and loose stools; for blood deficiency with irregular pulse and palpitations; for coughing, wheezing, and spasms, cramps in abdomen and legs"
Guaiacum officinale,ZYGOPHYLLACEAE,guaiacum,"bitter, aromatic, stimulates peripheral circulation, increases perspiration rate, diuretic, clears toxins from tissues, anti- inflammatory, expectorant, laxative; treats respiratory tract infections, rheumatic, arthritic complaints, gout - WARNING for overuse"
Gustavia augusta,LECYTHIDACEAE,stinkwood,"treats vomiting, leishmaniasis"
Hamamelis virginiana,HAMAMELIDACEAE,witch hazel,"analgesic and antiseptic - treats cuts, grazes; controls diarrhea and health of digestive tract; soothes swellings, reduces inflammation; encourages healing of bruises, sprains, bleeding hemorrrhoids"
Hamelia patens,RUBIACEAE,scarlet bush,"skin problems, sores, rashes, itching, cuts, fungus, insect bites - decoction of entire plant as tea to alleviate menstrual cramps and pain"
Hedera helix subsp. poetarum,ARALIACEAE,english ivy,"bitter, aromatic, antibacterial, nauseating taste, expectorant, lowers fevers, relieves spasms, constricts veins; treats gout, rheumatic pain, whooping cough, bronchitis; also for skin eruptions, painful joints, neuralgia, toothache, burns, warts"
Hedysarum coronarium,FABACEAE,French honeysuckle,food for moths and butterflies -no medicinal value
Helianthemum nummularium,CISTACEAE,rock rose,"calming, antidepressant;  treats anxiety disorders, feelings of dread, fright, intense stress, advanced nervousness, debiliated nervous system"
Helianthus annuus,ASTERACEAE,sunflower,"nutritious, lowers blood cholesterol, soothing; treats, bronchial infections, tuberculosis, malaria; also rheumatic complaints, muscular aches - seeds edible"
Helichrysum stoechas,ASTERACEAE,everlasting flower,"anti-inflammatory,  anti-bruising, anti-bacterial, deobstruent, expectorant; treats colds, helps heal wounds, alleviates pain esp. renal colic"
Heliconia bihai,HELICONIACEAE,balisier,"diuretic, astringent; used in childbirth"
Heliconia psittacorum,HELICONIACEAE,parrot flower,treats scalp sores
Helleborus foetidus,RANUNCULACEAE,stinking hellebore,"WARNING - highly toxic - diaphoretic, emetic, expectorant, febrifuge, drastic cathartic, contains glycosides, heart stimulant; used to treat intestinal worms"
Helleborus niger,RANUNCULACEAE,christmas rose,"WARNING - highly toxic - diaphoretic, emetic, expectorant, febrifuge, drastic cathartic, contains glycosides, heart stimulant; used to treat intestinal worms"
Helleborus viridis,RANUNCULACEAE,hellebore,"WARNING - highly toxic - diaphoretic, emetic, expectorant, febrifuge, drastic cathartic, contains glycosides, heart stimulant; used to treat intestinal worms"
Hemerocallis fulva,LILIACEAE,day lily,"hallucinogenic, sedative, diuretic, febrifuge, laxative, anti- bacterial, antispasmodic,  blood purifier, high in Vit. C, carotene, effective antidote in arsenic poisoning; treats liver conditions, shows antitumor activity"
Heracleum giganteum (stevenii),APIACEAE,cow parsnip,"stimulant, antispasmodic,  carminative; treats palsy, apoplexy, flatulence, dyspepsia, epilepsy, asthma, colic, amenorrhoea, dysamenorrhoea"
Heuchera americana,SAXIFRAGACEAE,alum root,"bitter, astringent, controls bleeding, discharge, promotes healing; treats diarrhea, dysentery, gastric ulcers; also for sores, wounds, sore throat, vaginal discharge"
Hibiscus rosa-sinensis,MALVACEAE,Chinese hibiscus,"astringent, demulcent, emmenagogue;  prevents miscarriage, treats painful and excessive menstruation, cystitis, venereal disease, feverish illnesses, coughs, intestinal complaints, minor stomach aches, promotes hair growth"
Hibiscus sabdariffa,MALVACEAE,roselle,"aromatic, astringent, cooling, diuretic, lowers fever, high in Vit. C;
used as a tonic for digestive and kidney functions"
Hibiscus trionum,MALVACEAE,bladder ketmia,"diuretic, astringent; treats itch and painful skin diseases, relieves stomach aches"
Hieracium aurantiacum,ASTERACEAE,hawkweed,"bitter, antibiotic, diuretic, expectorant, promotes healing, relieves spasms, anti-inflammatory,  increases salivation; treats asthma, respiratory ailments, kidney problems, wounds, fractures, hernia, nosebleeds"
Hordeum vulgare,GRAMINEAE,barley,anti-inflammatory  esp. urinary and digestive tracts; treats respiratory disorders; lowers cholesterol levels; nutritious -may help prevent heart disease
Horminum pyrenaicum,LAMIACEAE,dragon mouth,"strong odor, bitter, astringent, stimulant, tonic, carminative; treats dyspepsia, sore throat, bleeding gums, as wash for mouth affections"
Humulus lupulus,CANNABIDACEAE,hops,"aromatic, astringent, bitter, tonic, sedative, hormonal, antibacterial, relieves pain, relaxes spasms; treats insomnia, nervous tension, anxiety, irritability, nervous intestinal complaints"
Hydrangea aborescens,HYDRANGEACEAE,seven barks,"sweet, pungent, antiseptic, diuretic, soothing, reduces formation of urinary stones; treats kidney, bladder stones, cystitis, urethritis, prostatitis, rheumatoid arthritis, gout, edema"
Hydrastis canadensis,RANUNCULACEAE,goldenseal,"astringent, bitter tonic, high in alkaloids, mucous membrane alterative; treats cancers, breast swellings, stomach ailments, gastritis, dyspepsia, constipation, cirrhosis, fevers; also wash for ophthalmia"
Hyocyamus niger,SOLANACEAE,henbane,"calming, painkiller, sedative, anticonvulsant,  antispasmodic; relieves emotional problems, weakness, twitches and trembling, dry coughs, confusion, passive stupor"
Hypericum perfoliatum,CLUSIACEAE,St. John's wort,"analgesic, antiviral, anti-inflammatory;  strengthens nervous system and speeds healing; treats neuralgia, sciatica, back pain, mild depression; also sore skin, inflamed rashes and cuts"
Hyssopsus officinalis,LAMIACEAE,hyssop,"bitter, aromatic, astringent, expectorant, reduces inflammation, lowers fever, digestive; treats upper respiratory ailments; also for cuts and bruises"
Ilex aquifolium,AQUIFOLIACEAE,holly,"bitter tonic, febrifuge, sedative, purgative, emetic; treats hepatic problems, colic, digestive problems, malarial fevers, remedy for small pox"
Ilex paraguariensis,AQUIFOLIACEAE,yerba mate,"treats tension headaches, migraine, neuralgia, mild depression, rheumatic pain"
Ilex vomitoria,AQUIFOLIACEAE,cassine,"stimulating, intoxicating tea, diuretic, emetic used for purification"
Impatiens balsamina,BALSAMINACEAE,jewelweed,"WARNING - toxic in high quantities due to high mineral content; cathartic, diuretic, emetic, mucilaginous, cooling, antibiotic, expectorant, tonic; treats joint pains, warts, burns, scalds, cancers; kills bacteria, fungi"
Inula helenium,ASTERACEAE,elecampane,"bitter, pungent, aromatic, expectorant, diuretic, relaxes spasms, anti-inflammatory,  antifungal, antibacterial, removes toxins, stimulates immune and digestive systems, lung tonic, analgesic; treats respiratory and digestive ailments"
Iris germanica var. florentina,IRIDACEAE,orris root,"soothing, aromatic, diuretic, expectorant; treats coughs, excess mucus, diarrhea; also to heal wounds"
Iris versicolor,IRIDACEAE,blue flag,"psoriasis, acne, herpes, migraine due to liver dysfunction, arthritis, fibroids, swollen glands, septicemia, pelvic inflammatory disease; also skin diseases, rheumatism, infected wounds"
Isatis tinctoria,BRASSICACEAE,woad,"for meningitis, encephalitis, mumps, influenza, erysipelas, heat rash, sore throat, abscesses, swellings, convulsions, high fevers in children, coughing of blood, as a detoxifier"
Jasminum grandiflorum,OLEACEAE,Spanish jasmine,"for infectious illnesses with high fever, bleeding complaints, sunstroke, conjunctivitis, dermatitis, urethritis, cancer (esp. Hodgkin's disease, bone, lymph nodes, breast), emotional upsets, headaches"
Jasminum humile,OLEACEAE,Italian yellow jasmine,"astringent, tonic for heart and bowels; treats intestinal problems, ringworm; also destroys unhealthy lining of walls of chronic sinuses and fistulas"
Jasminum officinale,OLEACEAE,poet's jasmine,"aromatic, tonic, euphoric, relieves spasms, increases milk flow, stimulates uterus, aphrodisiac, antiseptic; aromatherapy for depression, nervous tension, impotence, frigidity, menstrual disorders, respiratory disorders of nervous origin, weak digestion"
Jasminum sambac,OLEACEAE,Arabian jasmine,"bitter, astringent, cooling, calming, checks bleeding, stimulates uterus, alterative, aphrodisiac, prevents cancer, antibacterial, antiviral; treats infectious diseases, bleeding complaints, sunstroke, conjunctivitis, cancer of bone, breast, lymph nodes"
Juniperus communis,CUPRESSACEAE,common juniper,"bitter, aromatic, antiseptic, diuretic, improves digestion,
stimulates uterus, anti-inflammatory;  for cystitis, edema, stomach upsets, arthritis, gout, rheumatic conditions, other urinary tract infections, flatulence, colic;+G293 also neuralgia, rheumatic pain"
Kochia scoparia,CHENOPODIACEAE,summer cypress,"antibacterial; treats skin diseases, diabetes, mellitus, rheumatoid arthritis, liver disorders, jaundice, ulcers"
Laburnum anagyroides,FABACEAE,golden chain tree,"WARNING - poisonous - has been used to treat whooping cough, asthma; also insecticidal"
Lagurus ovatus,GRAMINEAE,hare's tail,"acrid, abortifacient; treats migraine headaches"
Lamium album,LAMIACEAE,white dead nettle,"astringent, slightly bitter, decongestant, checks bleeding, reduces inflammation; treats PMS, irregular periods, menopause, vaginal discharge, prostatitis"
Lathyrus annuus,FABACEAE,annual pea,"seed nutritive, high in protein"
Lathyrus latifolius,FABACEAE,perrenial pea,"seed nutritive, high in protein"
Lathyrus sativus,FABACEAE,Indian pea,"WARNING - powerful, dangerous cathartic, causes 'lathyrism' - disease of nervous system (seed toxic)"
Laurus nobilis,LAURACEAE,bay laurel,"bitter, aromatic, stimulant, improves digestion, antiseptic; treats indigestion, poor appetite, colic, flatulence; also dandruff, rheumatism, sprains, bruises, atonic ulcers, scabies"
Lavandula angustifolia,LAMIACEAE,English lavender,"aromatic, tonic, sweet, anti-spasmodic,  benefits digestion, stimulates circulation, lowers fevers; treats indigestion, insomnia, depression, headaches, exhaustion, irritability, anxiety, migraine, bronchial complaints, rheumatism, neuralgia, more..."
Lavandula angustifolia var. rosea,LAMIACEAE,English lavender,"aromatic, tonic, sweet, anti-spasmodic,  benefits digestion, stimulates circulation, lowers fevers; treats indigestion, insomnia, depression, headaches, exhaustion, irritability, anxiety, migraine, bronchial complaints, rheumatism, neuralgia, more..."
Lavandula latifolia (or x intermedia),LAMIACEAE,Spanish lavender (hyb),"aromatic, slightly camphoraceous  scent; use as essential oil in perfumery"
Lavandula stoechas,LAMIACEAE,French lavender,"antiseptic, aromatic, benefits digestion, relaxes spasms, promotes healing, insect repellent, mild sedative, stimulant; used as antiseptic and relaxant, to repel insects, alleviates nausea"
Lemna minor,LEMNACEAE,duck weed,"alterative, antipruritic, antiscorbutic, astringent, depurative, diuretic, febrifuge, saporific, catarrhal remedy; treats colds, oedema, measles, difficult urination, skin diseases, asthma, respiratory complaints; also wash for opthalmia"
Leonurus cardiaca,LAMIACEAE,motherwort,"antispasmodic,  emmenogogue;  calms heart and relaxes womb; treats menstrual cramps, menopausal hot flushes, irregular heart beat, anxiety with palpitations"
Ligustrum lucidum (L. vulgare),OLEACEAE,common privet,"bitter, slightly sweet, tonic for kidneys and liver, diuretic, antitumor, antibacterial, antiviral; treats weak kidney, liver, menopausal complaints, blurred vision, cataracts, tinnitus, rheumatic pains, palpitations, backache, insomnia"
Lilium species,LILIACEAE,madonna lily,"astringent, mucilagenous, soothing, heals damaged, irritated tissues; used for burns, abscesses, chapped, inflamed skin, chilbains, ulcers, alopecia"
Limonium vulgare,PLUMBAGINACEAE,sea lavender,"decongestant, purgative; treats consumption with hemorrhage"
Linum perenne,LINACEAE,flax,"sweet, mucilaginous, laxative, expectorant, soothing, controls coughing, relieves pain; treats chronic constipation, diverticulitis, gastritis, pharyngitis, bronchial complaints, coughs, sore throat, menstrual problems, rheumatoid arthritis; also scalds, burns"
Linum usitatissimum,LINACEAE,flax,"mildly laxative; good kidney tonic- eases kidney pain and cramping;  encourages healing of sprains; reduces pain of burns; treats constipation, reduces lung inflammation"
Lippia dulcis,VERBENACEAE,honey herb,"anti- cholinergic, antihistaminergic;  treats coughs, colds, urinary obstruction, bronchitis, asthma, colic, sinus congestion, tuberculosis"
Lobelia inflata,CAMPANULACEAE,Indian tobacco,"acrid, emetic, stimulates respiration, increases perspiration, anti- inflammatory, expectorant; treats respiratory complaints, rheumatism, tennis elbow, whiplash injuries, boils, ulcers; important ingredient in anti-smoking tobacco and cough mixtures"
Lonicera japonica,CAPRIFOLIACEAE,honeysuckle,"relieves toxicity, for hot painful sores, dysentery, cystitis; for early stages of febrile illnesses - has strong effect against many pathogenic bacteria"
Luffa cylindrica,CURCUBITACEAE,loofah,"astringent, painkilling, controls bleeding, promotes healing, improves circulation, increases milk flow, acts on lungs, liver, stomach; treats rheumatism, chest pains, backaches, hemorrhoids, internal hemorrhage, insuffucient lactation"
Lycium barbarum,SOLANACEAE,matrimony vine,"for liver and kidney deficiency; as a blood tonic, to relieve eye problems such as blurred vision, dizziness and dry sore eyes; for lung health and to treat consumptive coughs"
Lycopodium spp.,LYCOPODIACEAE,clubmoss,"sedative, antibacterial, diuretic, lowers fevers, aids digestion, stimulates uterus; treats urinary and kidney disorders, cystitis, gastritis; also rheumatoid arthritis, traumatic injury, skin diseases, iriritation, dry coughs, mumps, rheumatic pain"
Lysimachia nummularia,PRIMULACEAE,moneywort,"antiscorbutic, mildly astringent, diuretic, vulnerary, contains phenolic acids; treats painful gout, internal bleeding, diarrhea, gall and urinary bladder stones; heals wounds"
Malva sylvestris,MALVACEAE,common mallow,"mucilaginous, slightly astringent, expectorant, soothing, reduces inflammation; treats upper respiratory ailments; also eczema, boils, abscesses, insect bites"
Manihot esculenta,EUPHORBIACEAE,cassava,"diuretic, antifungal, antibacterial; treats fungal dermatitis, cuts, abs+G329cesses,  muscle aches; hemostatic plastic for skin wounds"
Marsilea quadrifolia,MARSILEACEAE,pepperwort,"diuretic, febrifuge, anti-inflammatory,  depurgative, refrigerant; treats diarrhea, coughs, bronchitis, diabetes, psychiatric diseases, eye and skin diseases, abscesses, snakebite"
Matricaria recutita,ASTERACEAE,German chamomile,"bitter, aromatic, sedative, anti-inflammatory,  antispasmodic,  pain reliever, promotes healing; treats tension, insomnia, motion sickness, stomach problems, teething, earache, pregnancy"
Medicago sativa,FABACEAE,alfalfa or medick,"sweet, astringent, cooling, cleanses toxins, controls bleeding, lowers cholesterol, stimulates appetite; treats poor digestion, kidney problems, skin problems, diabetes, arthritis, anemia; also major source of vitamin K, carotene, chlorophyll"
Melaleuca alternifolia,MYRTACEAE,tea tree,"aromatic, antiseptic, expectorant, increases perspiration, stimulates immune system, antibacterial, antifungal; treats thrush, vaginal infection, acne, athlete's foot, verrucas, warts, insect
bites, cold sores, nits"
Melia azederach,MELIACEAE,chinaberry,"bitter, irritant, antiparasitic, antifungal; for intestinal worms, candidiasis"
Melilotus officinalis,FABACEAE,yellow sweet clover,"aromatic, sedative, diuretic, relieves spasms, pain, clears congestion, reduces inflammation, anti-thrombotic;  treats tension headaches, neuralgia, insomnia, painful menstruation, varicose veins - drug warfarin used as anticoagulant"
Meliococcus bijugatus,SAPINDACEAE,Spanish lime,"treats diarrhea, low blood pressure, coughs, fevers"
Melissa officinalis,LAMIACEAE,lemon balm,"aromatic, cooling, sedative, lowers fever, improves digestion, antispasmodic,  inhibits thyroid activity; treats nervous disorders, indigestion, tension headaches, hyperthyroidism,  depression, anxiety"
Melissa officinalis 'All Gold',LAMIACEAE,variegated lemon balm,"aromatic, cooling, sedative, lowers fever, improves digestion, antispasmodic,  inhibits thyroid activity; treats nervous disorders, indigestion, tension headaches, hyperthyroidism,  depression, anxiety"
Mentha aquatica,LAMIACEAE,watermint,"aromatic, astringent, stimulates bile flow, improves digestion, relieves spasms; treats diarrhea, gastroenteritis, colds, painful menstruation"
Mentha longifolia,LAMIACEAE,horsemint,"peppermint scented herb, used to flavor food"
Mentha x piperita,LAMIACEAE,peppermint,"digestive, carminative, antispasmodic,  mild stimulant, emmenagogue;  treats indigestion, colic, wind, nausea, vomiting, depressed appetite, menstrual cramps, gall bladder pain"
Microsorum punctatum,POLYPODIACEAE,climbing bird's nest fern,used in all purpose medicines
Mimosa pudica,MIMOSACEAE,sensitive plant,"bitter, cooling, acrid, vulnerary, alexipharmic; treats leprosy, dysentery, vaginal and uterine complaints, urinary problems, inflammations, asthma, leucoderma, fatigue, blood diseases"
Mitchella repens,RUBIACEAE,partridge berry,"bitter, astringent, diuretic, relaxes uterus, strengthens uterine contractions, calms nerves; treats menstrual disorders, labor pains, nervous exhaustion, irritability"
Momordica charantia,CURCUBITACEAE,bitter gourd,"laxative, diuretic, soothing, lowers fever, kills parasites, cleanses toxins, uterine stimulant; treats colitis, dysentery, intestinal worms, jaundice, fevers, hemorrhoids, chapped skin, burns"
Monarda didyma,LAMIACEAE,bee balm,"aromatic, stimulant, expectorant, lowers fever, aid in digestion;
treats minor digestive complaints"
Monarda fistulosa,LAMIACEAE,bee balm,"aromatic, stimulant, improves digestion, increases perspiration; treats colds, sore throat, excess mucus, headaches, fevers, gastric disorders; also for skin eruptions"
Monarda punctata,LAMIACEAE,bee balm,"bitter, pungent, diuretic, increases perspiration, benefits digestion, rubefacient; treats indigestion, colic, nausea, vomiting, diarrhea, feverish chills, colds, backache; also neuralgia, rheumatism"
Morinda citrifolia,RUBIACEAE,noni,"astringent, purgative, reduces inflammation; treats dysentery, hemorrhage, constipation, tuberculosis, gout, chronic ulcers, snakebite, gum disease"
